amount,merchant_category,customer_age,customer_location,device_type,previous_transactions,is_fraud,transaction_hour,transaction_day,transaction_month,transaction_day_of_week,is_weekend,is_night,customer_avg_amount,amount_deviation,amount_ratio
92.58,fashion,18,IL,desktop,3,0,20,19,1,3,0,0,97.749972,-5.169972000000001,0.9471102360304489
186.14,fashion,48,CA,mobile,5,0,16,14,8,2,0,0,97.749972,88.39002799999999,1.9042460502776812
171.87,electronics,57,FL,tablet,1,0,4,10,12,6,1,1,97.749972,74.120028,1.7582613552230855
198.54,grocery,57,FL,desktop,0,0,8,25,10,1,0,0,97.749972,100.79002799999999,2.0311003052655576
35.85,entertainment,50,FL,tablet,2,0,3,10,2,3,0,1,97.749972,-61.899972,0.3667520194609159
16.3,entertainment,59,IL,mobile,1,0,0,17,4,2,0,1,97.749972,-81.449972,0.16675196421793387
4.62,fashion,68,CA,tablet,4,0,5,25,5,2,0,1,97.749972,-93.129972,0.047263440164837696
32.14,fuel,59,IL,tablet,4,0,3,4,11,0,0,1,97.749972,-65.609972,0.32879804478309166
331.37,electronics,45,NY,tablet,2,0,5,3,2,3,0,1,97.749972,233.620028,3.3899753609139105
198.2,fashion,28,FL,desktop,0,0,17,1,3,4,0,0,97.749972,100.45002799999999,2.0276220434352448
94.26,entertainment,53,NY,tablet,3,0,21,23,9,5,1,0,97.749972,-3.4899719999999945,0.9642969415449354
35.32,entertainment,65,TX,mobile,3,0,14,9,2,2,0,0,97.749972,-62.429972,0.36133002307836953
345.23,electronics,23,IL,tablet,2,0,0,1,5,6,1,1,97.749972,247.480028,3.531765681408424
90.46,grocery,37,FL,mobile,4,0,10,26,11,1,0,0,97.749972,-7.289972000000006,0.9254222505002635
35.93,fashion,68,CA,tablet,3,0,13,9,10,2,0,0,97.749972,-61.819972,0.36757043400922473
10.9,fashion,27,NY,tablet,5,0,6,4,4,3,0,0,97.749972,-86.849972,0.1115089822070846
37.88,entertainment,27,FL,tablet,6,0,10,15,9,3,0,0,97.749972,-59.869972,0.38751928862425367
86.45,fuel,59,NY,mobile,4,0,10,18,12,0,0,0,97.749972,-11.299971999999997,0.8843992212662811
34.88,entertainment,50,CA,mobile,1,0,0,27,6,3,0,1,97.749972,-62.869972,0.35682874306267076
195.32,entertainment,54,FL,desktop,4,0,4,26,8,5,1,1,97.749972,97.570028,1.998159119696125
297.81,electronics,21,FL,mobile,6,0,10,27,1,4,0,0,97.749972,200.060028,3.046650457898336
6.39,electronics,55,IL,tablet,1,0,18,27,12,2,0,0,97.749972,-91.359972,0.06537086204617161
55.79,fuel,42,NY,tablet,1,0,5,11,1,3,0,1,97.749972,-41.959972,0.5707418456269037
88.67,electronics,67,TX,desktop,1,0,18,28,12,5,1,0,97.749972,-9.079971999999998,0.9071102249818525
57.57,entertainment,60,FL,tablet,1,0,13,31,7,6,1,0,97.749972,-40.179972,0.5889515693267762
